Year,Month,Day,Position,Team
2024,Novembro,08,1,Nina Correia / Rossana Barros
2024,Novembro,08,2,Margarida Mateus / Teresa Martins
2024,Novembro,08,3,Adelina Dobroslavska / Renata Cardoso
2024,Novembro,08,4,Ana Matos / Viktoria Podriezova
2024,Novembro,08,5,Cristina Portugal / Sílvia Pica
2024,Novembro,08,6,Mariana Henriques / Maria João Faria
2024,Novembro,08,7,Guadalupe Boullosa / Sara Pastor
2024,Novembro,08,8,Inês Gouveia / Patrícia Gouveia
2024,Novembro,15,1,Ana Teresa Ruas / Sofia Ferreira
2024,Novembro,15,2,Bárbara Vaz / Diana Vicente
2024,Novembro,15,3,Mariana Henriques / Maria João Faria
2024,Novembro,15,4,Isabel Vilaça / Rosário Silva
2024,Novembro,15,5,Sara Vilaça Santos / Teresa Vilaça Santos
2024,Novembro,15,6,Viktoria Podriezova / Mariana Marques
2024,Novembro,15,7,Teresa Catroga / Margarida Perestrelo
2024,Novembro,15,8,Naira Abreu / Naira Jesus
2024,Novembro,29,1,Margarida Mateus / Teresa Martins
2024,Novembro,29,2,Adelina Dobroslavska / Renata Cardoso
2024,Novembro,29,3,Maria João Faria / Mariana Henriques
2024,Novembro,29,4,Maria Velosa / Rossana Barros
2024,Novembro,29,5,Naira Abreu / Milene Fortunato
2024,Novembro,29,6,Luíza Serra / Mariana Marques
2024,Dezembro,06,1,Viktoria Podriezova / Rossana Barros
2024,Dezembro,06,2,Adelina Dobroslavska / Renata Cardoso
2024,Dezembro,06,3,Ana Portugal / Cristina Portugal
2024,Dezembro,06,4,Sílvia Pica / Carolina Pica
2024,Dezembro,06,5,Mariana Henriques / Maria João Faria
2024,Dezembro,06,6,Alexandra Neto / Luísa Lopes
2024,Dezembro,06,7,Ana Matos / Marta Santos
2024,Dezembro,06,8,Constança Silva / Naira Jesus
2024,Dezembro,27,1,Renata Cardoso / Adelina Dobroslavska
2024,Dezembro,27,2,Maria João / Joana Borges
2024,Dezembro,27,3,Ana Luísa Basílio / Maria Velosa
2024,Dezembro,27,4,Maria João Faria / Mariana Henriques
2024,Dezembro,27,5,Raquel Larangeira / Cristina Dias
2024,Dezembro,27,6,Maria Fernández / Fátima Silva
2025,Janeiro,03,1,Rita Ferreira / Carolina Pinto
2025,Janeiro,03,2,Viktoria Podriezova / Valéria 
2025,Janeiro,03,3,Luísa Lopes / Joana Gueifão
2025,Janeiro,03,4,Renata Cardoso / Adelina Dobroslavska
2025,Janeiro,03,5,Naira Jesus / Cristina Dias
2025,Janeiro,03,6,Ana Luísa Basílio / Marta Santos
2025,Janeiro,03,7,Catarina Faúlha / Filipa Dias
2025,Janeiro,03,8,Mariana Henriques / Catarina Barão
2025,Janeiro,03,9,Sílvia Pica / Cristina Portugal
2025,Janeiro,03,10,Luíza Serra / Zeza Gomes
2025,Janeiro,03,11,Mariana Marques / Sara Carvalho
2025,Janeiro,03,12,Bárbara Dias / Joana Borges
2025,Janeiro,10,1,Ana Portugal / Mariana Seabra
2025,Janeiro,10,2,Bárbara Vaz / Diana Vicente
2025,Janeiro,10,3,Mariana Henriques / Maria João Faria
2025,Janeiro,10,4,Adelina Dobroslavska / Cristina Dias
2025,Janeiro,10,5,Rossana Barros / Natália Soares
2025,Janeiro,10,6,Raquel Larangeira / Inês Gouveia
2025,Janeiro,10,7,Cristina Portugal / Ana Gonçalves
2025,Janeiro,10,8,Alexandra Neto / Luísa Lopes
2025,Janeiro,17,1,Adelina Dobroslavska / Maria João Faria
2025,Janeiro,17,2,Viktoria Podriezova / Valéria
2025,Janeiro,17,3,Carlota / Francisca
2025,Janeiro,17,4,Roxana Feji / Raquel Larangeira
2025,Janeiro,17,5,Margarida Mateus / Rita Anjos
2025,Janeiro,17,6,Mariana Henriques / Catarina Barão
2025,Janeiro,17,7,Ana Matos / Alexandra Neto
2025,Janeiro,17,8,Inês Gouveia / Patrícia Gouveia
2025,Janeiro,24,1,Ana Gonçalves / Cristina Portugal
2025,Janeiro,24,2,Maria Velosa / Mariana Henriques
2025,Janeiro,24,3,Sílvia Pica / Carolina Pica
2025,Janeiro,24,4,Marta Santos / Rita Anjos
2025,Janeiro,24,5,Ana Roldão / Rossana Barros
2025,Janeiro,24,6,Alexandra Neto / Luísa Lopes
2025,Janeiro,24,7,Joana Borges / Naira Jesus
2025,Janeiro,24,8,Raquel Durão / Milene Fortunato
2025,Janeiro,31,1,Maria João Faria / Maria Velosa
2025,Janeiro,31,2,Teresa Martins / Margarida Mateus
2025,Janeiro,31,3,Carlota / Francisca
2025,Janeiro,31,4,Rita Anjos / Marta Santos
2025,Janeiro,31,5,Cristina Portugal / Ana Gonçalves
2025,Janeiro,31,6,Ana Portugal / Inês Portugal
2025,Janeiro,31,7,Mariana Henriques / Renata Cardoso
2025,Janeiro,31,8,Vera Caldeira / Mafalda 
2025,Janeiro,31,9,Rossana Barros / Alexandra Neto
2025,Janeiro,31,10,Sara Carvalho / Mariana Marques
2025,Janeiro,31,11,Carolina Fernandes / Cristina Dias
2025,Janeiro,31,12,Roxana Feji / Raquel Larangeira
2025,Fevereiro,07,1,Diana Vicente / Ana
2025,Fevereiro,07,2,Marta / Mafalda Gato
2025,Fevereiro,07,3,Vera Caldeira / Ângela Inácio
2025,Fevereiro,07,4,Cristina Portugal / Luísa Lopes
2025,Fevereiro,07,5,Alexandra Neto / Sílvia Pica
2025,Fevereiro,07,6,Ana Luísa Basílio / Marta Santos
2025,Fevereiro,07,7,Mariana Henriques / Rita Anjos
2025,Fevereiro,07,8,Sara Ferreira / Maria Martins
2025,Fevereiro,21,1,Vanessa Costa / Ana Gonçalves
2025,Fevereiro,21,2,Joana Borges / Bárbara Dias
2025,Fevereiro,21,3,Inês Gouveia / Ana Matos
2025,Fevereiro,21,4,Marta Santos / Naira Jesus
2025,Fevereiro,21,5,Rita Anjos / Alexandra Neto
2025,Fevereiro,21,6,Mariana Marques / Rita Vizinho
2025,Fevereiro,21,7,Sara Ferreira / Rossana Barros
2025,Fevereiro,21,8,Mariana Henriques / Maria Martins
2025,Fevereiro,28,1,Ana Portugal / Joana Gueifão
2025,Fevereiro,28,2,Rita Anjos / Marta Santos
2025,Fevereiro,28,3,Cristina Portugal / Luísa Lopes
2025,Fevereiro,28,4,Raquel Durão / Milene Fortunato
2025,Fevereiro,28,5,Patrícia Gouveia / Rossana Barros
2025,Fevereiro,28,6,Joana Borges / Cristina Dias
2025,Março,07,1,Diana Vicente / Bárbara Vaz
2025,Março,07,2,Sara Carvalho / Mariana Marques
2025,Março,07,3,Cristina Portugal / Alexandra Neto
2025,Março,07,4,Ana Gonçalves / Vanessa Costa
2025,Março,07,5,Inês Gouveia / Ana Matos
2025,Março,07,6,Raquel Larangeira / Sara Ferreira
2025,Março,07,7,Mariana Henriques / Maria Martins
2025,Março,07,8,Rita Fernandes / Filipa Dias
2025,Março,14,1,Ana Portugal / Alexandra Neto
2025,Março,14,2,Raquel Larangeira / Roxana Feji
2025,Março,14,3,Raquel Durão / Milene Fortunato
2025,Março,14,4,Ana Luísa Basílio / Rita Anjos
2025,Março,14,5,Cristina Portugal / Luísa Lopes
2025,Março,14,6,Joana Iglesias / Djalila Vasconcelos
2025,Março,14,7,Marta Santos / Carmo Girão
2025,Março,14,8,Mariana Henriques / Filipa Dias
2025,Março,28,1,Alexandra Neto / Luísa Lopes
2025,Março,28,2,Madalena Luís / Rita Barreira
2025,Março,28,3,Mariana Marques / Rita Vizinho
2025,Março,28,4,Raquel Larangeira / Roxana Feji
