Year,Month,Day,Position,Team
2024,Novembro,17,1,Pedro Direito / Pedro Amorim
2024,Novembro,17,2,João Marcos / Pedro Sousa
2024,Novembro,17,3,Luís Fábrica / Marco Abreu
2024,Novembro,17,4,Celso Filipe / Hélder Nunes
2024,Novembro,17,5,Nuno Rolo / Nicholas Bossons
2024,Novembro,17,6,Gabriel / Baptiste
2024,Novembro,24,1,Rui Teixeira / Sergei
2024,Novembro,24,2,Pedro Direito / Carlos Costa
2024,Novembro,24,3,Gonçalo Ramires / Duarte Ramires
2024,Novembro,24,4,Luís Fábrica / Paulo Gonçalves
2024,Novembro,24,5,Marco Abreu / Diogo Baltazar
2024,Novembro,24,6,Pedro Amorim / João Pratas
2024,Novembro,24,7,Reinaldo Teixeira / João Afonso
2024,Novembro,24,8,Imal Moradi / Elias Markward
2024,Novembro,24,9,Hélder Nunes / André Santos
2024,Novembro,24,10,Salvador Barros / Pedro Roque
2024,Novembro,24,11,Gabriel / Baptiste
2024,Novembro,24,12,Gil Simas / Diogo Vilela
2024,Dezembro,1,1,Rui Teixeira / Dinis Teixeira
2024,Dezembro,1,2,Pedro Direito / Carlos Costa
2024,Dezembro,1,3,João Gonçalves / Vova Savych
2024,Dezembro,1,4,João Pratas / Pedro Amorim
2024,Dezembro,1,5,Celso Filipe / Manuel Mendes
2024,Dezembro,1,6,Hélder Nunes / Francisco Antunes
2024,Dezembro,1,7,Pedro Roque / Hugo Fonseca
2024,Dezembro,1,8,Marco Abreu / Luís Fábrica
2024,Dezembro,1,9,Tiago Gonçalves / Nicholas Bossons
2024,Dezembro,1,10,Tiago Capítulo / Daniel Francisco
2024,Dezembro,1,11,Diogo Vilela / Pedro Martins
2024,Dezembro,1,12,Tomás Spínola / Ricardo Spínola
2024,Dezembro,8,1,Luís Almeida / Jaime Almeida
2024,Dezembro,8,2,Francisco Antunes / Jorge Portela
2024,Dezembro,8,3,Pedro Direito / Carlos Costa
2024,Dezembro,8,4,Rafael Gomes / João Correia
2024,Dezembro,8,5,Tiago Gonçalves / Reinaldo Teixeira
2024,Dezembro,8,6,João Pratas / Pedro Amorim
2024,Dezembro,8,7,Celso Filipe / Bruno Simões
2024,Dezembro,8,8,Tiago Silva / Rodrigo Coelho
2024,Dezembro,8,9,João Pedro / Ricardo Spínola
2024,Dezembro,8,10,Pedro Sousa / João Marcos
2024,Dezembro,8,11,Gonçalo Oliveira / Theo Orfanidis
2024,Dezembro,8,12,Nicholas Bossons / Diogo Fortunato
2024,Dezembro,15,1,Mário Granate / Gonçalo Mascarenhas
2024,Dezembro,15,2,Diogo Lazarino / Henrique Nave
2024,Dezembro,15,3,Moritz Lind / Tiem Schmeets
2024,Dezembro,15,4,Tiago Gonçalves / Hugo Fonseca
2024,Dezembro,15,5,Miguel Almeida / António Almeida
2024,Dezembro,15,6,Francisco Antunes / Manuel Antunes
2024,Dezembro,15,7,Reinaldo Teixeira / João Afonso
2024,Dezembro,15,8,António Coutinho / André Gonçalves Jr.
2024,Dezembro,15,9,Imal Moradi / Tim Dornberger
2024,Dezembro,15,10,Gonçalo Oliveira / Theo Orfanidis
2024,Dezembro,15,11,António Coutinho Jr. / António Vale
